Position,artists,track_name,Days,Top 10 (xTimes),Peak Position,Peak Position (xTimes),Peak Streams,Total Streams,viral_on_tiktok
6,travis scott,goosebumps,1995,4.0,8,0,977275,672972704,Да
13,travis scott,sicko mode,1046,190.0,1,(x19),4129691,586638599,Да
17,glass animals,heat waves,763,248.0,1,(x34),1230046,540754791,Да
19,roddy ricch,the box,650,197.0,1,(x85),3781452,504210201,Да
24,olivia rodrigo,good 4 u,547,187.0,1,(x53),4974833,454100610,Да
32,harry styles,watermelon sugar,988,65.0,3,(x3),1609066,409073262,Да
35,the neighbourhood,sweater weather,1050,0.0,12,0,671844,400804036,Да
41,billie eilish,bad guy,652,108.0,1,(x20),2931099,385813103,Да
49,lil mosey,blueberry faygo,603,152.0,2,(x12),1428849,355016723,Да
52,harry styles,as it was,273,203.0,1,(x40),5953134,348668080,Да
54,ariana grande,7 rings,559,72.0,1,(x34),3961641,332694161,Да
58,lizzo,truth hurts,535,161.0,2,(x3),1400026,321459791,Да
66,arizona zervas,roxanne,536,123.0,1,(x23),1676128,314843202,Да
69,blackbear,hot girl bummer,742,45.0,5,0,1032214,312411378,Да
81,travis scott,highest in the room,602,69.0,1,(x21),3939490,295198938,Да
82,lil tecca,ransom,465,110.0,1,(x26),1833927,292578295,Да
86,lil nas x,montero (call me by your name),410,123.0,1,(x11),2378862,288187067,Да
91,dua lipa,don't start now,646,47.0,4,0,1220899,284754771,Да
94,dababy,bop,622,76.0,1,(x1),1601147,277705797,Да
95,lil uzi vert,20 min,1012,0.0,45,0,401156,277454899,Да
106,sza,good days,604,83.0,1,(x3),1387122,270125295,Да
107,doja cat,need to know,460,72.0,3,(x3),1245936,268475081,Да
128,steve lacy,dark red,513,0.0,11,0,649193,249198471,Да
140,steve lacy,bad habit,183,136.0,1,(x66),1691327,239087671,Да
141,jack harlow,whats poppin,519,89.0,2,(x12),1248272,238356467,Да
147,bobby helms,jingle bell rock,335,98.0,1,(x1),4516839,235335220,Да
149,trevor daniel,falling,455,76.0,4,0,1101319,234818302,Да
155,doja cat,woman,489,26.0,7,0,864796,232370353,Да
181,billie eilish,happier than ever,459,30.0,3,(x12),1688659,207031225,Да
206,doja cat,streets,477,57.0,3,(x12),1024708,195884808,Да
213,the neighbourhood,daddy issues,705,0.0,50,0,359758,192551331,Да
244,surfaces,sunday best,412,0.0,13,0,751886,176430872,Да
251,the walters,i love you so,431,38.0,7,0,683985,174547021,Да
252,ed sheeran,bad habits,350,49.0,7,0,1259918,174488164,Да
264,lil nas x,panini,249,67.0,1,(x2),2147076,171512571,Да
273,doja cat,say so,308,51.0,2,(x1),1262821,165898476,Да
275,kali uchis,telepatía,395,44.0,3,(x8),1064644,164803198,Да
277,justin bieber,ghost,399,4.0,9,0,895735,163964781,Да
279,joji,glimpse of us,201,83.0,1,(x16),2474076,163315058,Да
282,kate bush,running up that hill (a deal with god),182,98.0,1,(x30),2430143,163034803,Да
286,drake,toosie slide,239,79.0,1,(x20),2670968,161667752,Да
290,lil nas x,thats what i want,358,23.0,2,(x1),1896424,160369392,Да
312,beach house,space song,549,0.0,55,0,434347,151348745,Да
316,don toliver,after party,400,0.0,11,0,768932,148828688,Да
317,lizzo,about damn time,243,51.0,3,(x1),1276164,148776441,Да
327,doja cat,ain't shit,356,39.0,4,0,1413486,145660715,Да
336,cardi b,up,247,76.0,2,(x4),1133283,143743718,Да
345,rae sremmurd,swang,393,0.0,21,0,680384,141632137,Да
353,doja cat,get into it (yuh),391,0.0,16,0,751498,138640495,Да
365,ski mask the slump god,faucet failure,415,0.0,25,0,671084,136293354,Да
372,bad bunny,efecto,236,16.0,9,0,1315548,134743830,Да
382,lil nas x,old town road,175,50.0,1,(x2),2450954,132031403,Да
386,dababy,vibez,285,2.0,4,0,1371845,129872425,Да
415,onerepublic,i ain't worried,206,36.0,6,0,847839,122488638,Да
431,måneskin,beggin',231,29.0,4,0,1100134,118922920,Да
458,d4vd,romantic homicide,149,48.0,2,(x1),1061087,112839982,Да
460,gayle,abcdefu,210,61.0,5,0,940468,112733991,Да
462,ynw melly,suicidal,216,19.0,6,0,1113095,111505967,Да
464,cj,whoopty,230,58.0,3,(x3),834077,111327394,Да
465,willow,wait a minute!,384,0.0,12,0,578328,111162304,Да
493,olivia rodrigo,"jealousy, jealousy",256,4.0,9,0,1994138,106842027,Да
496,ali gatie,it's you,297,0.0,15,0,791346,106473404,Да
517,$uicideboy$,"...and to those i love, thanks for sticking around",392,0.0,35,0,441747,101882235,Да
538,conan gray,maniac,382,0.0,66,0,400847,98117699,Да
554,nicki minaj,super freaky girl,137,66.0,2,(x12),1573025,96391022,Да
569,don toliver,no idea,246,0.0,17,0,723629,93790452,Да
587,"tyler, the creator",new magic wand,305,1.0,5,0,1537094,91144161,Да
597,jvke,golden hour,128,8.0,9,0,951092,89077530,Да
610,dove cameron,boyfriend,236,2.0,10,0,610722,86719217,Да
623,adele,send my love (to your new lover),267,0.0,13,0,621087,85569483,Да
625,brockhampton,sugar,224,0.0,21,0,768037,85393131,Да
693,megan thee stallion,thot shit,155,2.0,10,0,903858,75741224,Да
716,the rare occasions,notion,240,0.0,33,0,468246,73881354,Да
753,beyoncé,cuff it,152,2.0,6,0,1388259,70035649,Да
785,clairo,sofia,215,0.0,25,0,501578,67460841,Да
792,megan thee stallion,savage,147,22.0,8,0,876040,66785378,Да
805,chris brown,under the influence,142,0.0,21,0,641846,65353666,Да
847,24kgoldn,valentino,183,0.0,41,0,482635,61991694,Да
856,ckay,love nwantiti (ah ah ah),188,0.0,27,0,509139,61186051,Да
889,beyoncé,break my soul,115,15.0,2,(x2),1990829,58766150,Да
896,noah kahan,stick season,168,0.0,33,0,484740,58383443,Да
907,rae sremmurd,this could be us,339,0.0,20,0,371328,57990446,Да
959,saweetie,my type,175,0.0,43,0,465578,55014809,Да
1019,em beihold,numb little bug,144,0.0,25,0,484640,50555344,Да
1029,sza,kill bill,20,18.0,1,(x16),2976280,49884805,Да
1034,echosmith,cool kids,274,63.0,4,0,340219,49643988,Да
1042,tokyo’s revenge,goodmorningtokyo!,136,0.0,39,0,540193,49275156,Да
1052,ashnikko,daisy,153,0.0,37,0,419153,48663445,Да
1116,the neighbourhood,softcore,142,0.0,37,0,430498,44951503,Да
1134,taylor swift,cruel summer,126,7.0,3,(x1),2277951,44160627,Да
1137,girl in red,we fell in love in october,172,0.0,44,0,393988,44020710,Да
1142,ant saunders,yellow hearts,104,0.0,19,0,607388,43785355,Да
1177,sia,snowman,100,0.0,28,0,1342079,42395769,Да
1182,blanco brown,the git up,117,0.0,32,0,521344,42118089,Да
1187,24kgoldn,city of angels,120,0.0,42,0,515829,42046175,Да
1208,dababy,ball if i want to,113,0.0,22,0,655719,41233267,Да
1217,doja cat,boss bitch,114,0.0,36,0,503814,40956320,Да
1231,boywithuke,toxic,136,0.0,49,0,399425,40146871,Да
1234,mitski,washing machine heart,175,0.0,111,0,270121,40063249,Да
1258,pinkpantheress,pain,125,0.0,41,0,399829,38859397,Да
1261,bella poarch,build a bitch,98,0.0,25,0,627884,38791472,Да
1296,mr.kitty,after dark,151,0.0,114,0,303811,37792811,Да
1305,mother mother,hayloft,133,0.0,58,0,339783,37325330,Да
1312,demi lovato,cool for the summer,150,0.0,11,0,429835,37034004,Да
1353,saweetie,tap in,110,0.0,25,0,537217,35519560,Да
1355,ajr,world's smallest violin,129,0.0,75,0,316903,35413229,Да
1366,beach weather,"sex, drugs, etc.",112,0.0,51,0,377646,35092006,Да
1370,jaymes young,infinity,116,0.0,55,0,401330,35009706,Да
1395,melanie martinez,play date,91,0.0,35,0,500721,34165887,Да
1403,ghost,mary on a cross,86,0.0,27,0,564774,33860020,Да
1417,kevin gates,big gangsta,108,0.0,38,0,413539,33419132,Да
1418,billie eilish,tv,103,1.0,8,0,869763,33410882,Да
1434,arctic monkeys,i wanna be yours,105,0.0,67,0,375665,32996699,Да
1491,comethazine,walk,125,0.0,109,0,316063,31394567,Да
1504,rema,calm down,102,0.0,53,0,400319,30698893,Да
1511,d4vd,here with me,71,0.0,20,0,587499,30491119,Да
1559,ashe,moral of the story,78,0.0,21,0,701392,29433590,Да
1657,miguel,sure thing,86,0.0,32,0,518355,26871929,Да
1679,sam smith,like i can,222,0.0,30,0,265896,26407088,Да
1683,labrinth,still don't know my name,87,0.0,51,0,428899,26336120,Да
1694,rosa linn,snap,88,0.0,64,0,377135,25972464,Да
1727,ambjaay,uno,91,0.0,73,0,335721,25195284,Да
1810,blackpink,pink venom,49,4.0,6,0,1038802,23680687,Да
1871,labrinth,mount everest,71,0.0,32,0,453938,22432686,Да
1912,arizona zervas,fml,68,0.0,64,0,423360,21556891,Да
1927,sofaygo,knock knock,94,0.0,121,0,259109,21263127,Да
1952,cafuné,tek it,74,0.0,57,0,360339,20905806,Да
1961,regard,ride it,77,0.0,79,0,361977,20795938,Да
1980,tv girl,not allowed,92,0.0,129,0,250355,20529847,Да
1985,dripreport,skechers,73,0.0,61,0,351257,20448995,Да
1989,ashley o,on a roll,52,0.0,27,0,611800,20404924,Да
2003,summer walker,girls need love,67,0.0,40,0,620253,20158821,Да
2028,thxsomch,spit in my face!,56,0.0,53,0,473108,19600894,Да
2039,elyotto,sugarcrash!,65,0.0,43,0,389577,19454284,Да
2069,roar,i can't handle change,91,0.0,143,0,224634,18955615,Да
2071,leah kate,10 things i hate about you,64,0.0,51,0,398684,18922207,Да
2312,eminem,mockingbird,51,0.0,94,0,345888,15464258,Да
2344,lukas graham,mama said,62,0.0,54,0,322237,15015570,Да
2469,siouxxie sixxsta,masquerade,53,0.0,75,0,301254,13691754,Да
2470,doja cat,candy,46,0.0,56,0,380695,13689297,Да
2513,pinkpantheress,just for me,50,0.0,55,0,347651,13262025,Да
2611,matt maltese,as the world caves in,48,0.0,59,0,347444,12239415,Да
2817,marina,bubblegum bitch,46,0.0,121,0,249773,10469310,Да
2906,realestk,wfm,33,0.0,44,0,385127,9744672,Да
2912,lady gaga,bloody mary,26,0.0,83,0,437790,9698562,Да
2977,conan gray,memories,38,0.0,53,0,382145,9286526,Да
2985,fousheé,deep end,39,0.0,115,0,266627,9224553,Да
3043,edison lighthouse,love grows (where my rosemary goes),36,0.0,93,0,287769,8827139,Да
3052,pharrell williams,just a cloud away,26,0.0,14,0,503081,8794549,Да
3086,trinidad cardona,dinero,33,0.0,87,0,303751,8579709,Да
3322,mother mother,burning pile,33,0.0,136,0,236669,7179564,Да
3467,partynextdoor,break from toronto,25,0.0,160,0,275277,6488141,Да
3566,paramore,hard times,25,0.0,54,0,446681,5954977,Да
3592,bring me the horizon,can you feel my heart,24,0.0,91,0,274730,5816221,Да
3908,coldplay,viva la vida,21,0.0,60,0,268093,4610225,Да
4054,matthew wilder,break my stride,15,0.0,118,0,322851,4127339,Да
4108,347aidan,dancing in my room,17,0.0,136,0,249593,3979796,Да
4175,lana del rey,summertime sadness,16,0.0,156,0,249496,3790373,Да
4419,m83,midnight city,40,0.0,84,0,342998,3180318,Да
4861,"grover washington, jr.",just the two of us,11,0.0,171,0,266772,2465647,Да
4902,doja cat,freak,9,0.0,87,0,364250,2411896,Да
5015,lizzo,boys,10,0.0,177,0,260126,2269128,Да
5151,chase atlantic,swim,9,0.0,169,0,239063,2090134,Да
5210,destiny's child,"bills, bills, bills",10,0.0,187,0,214577,2022210,Да
5248,$ilkmoney,my potna dem,9,0.0,142,0,237686,1988450,Да
5794,isabel larosa,i'm yours,5,0.0,126,0,317471,1514589,Да
5845,mazie,dumb dumb,6,0.0,112,0,280279,1476765,Да
5861,likybo,kraazy,6,0.0,148,0,264734,1468307,Да
5919,taylor swift,wildest dreams,7,0.0,115,0,247944,1422096,Да
6318,shakira,she wolf,4,0.0,50,0,392871,1141908,Да
6421,cochise,hatchback,5,0.0,171,0,235398,1082026,Да
6750,mgmt,little dark age,4,0.0,130,0,241053,891987,Да
7011,andrew gold,"spooky, scary skeletons",3,0.0,111,0,265145,767846,Да
7330,megan thee stallion,what’s new,2,0.0,83,0,362293,658286,Да
7557,tame impala,one more hour,2,0.0,137,0,343385,597507,Да
7980,empire of the sun,walking on a dream,3,0.0,88,0,218053,492881,Да
8023,abba,dancing queen,2,0.0,124,0,265040,478933,Да
8122,twice,the feels,2,0.0,174,0,236592,447000,Да
8130,outkast,ms. jackson,2,0.0,200,0,222532,442390,Да
8177,lady gaga,poker face,2,0.0,85,0,251441,426721,Да
8747,troye sivan,angel baby,1,0.0,127,0,312587,312587,Да
9511,addison rae,obsessed,1,0.0,144,0,259340,259340,Да
9554,doja cat,cyber sex,1,0.0,174,0,256897,256897,Да
9636,ir sais,dream girl,1,0.0,132,0,252700,252700,Да
9748,kesha,cannibal,1,0.0,121,0,246975,246975,Да
10217,doja cat,rules,1,0.0,182,0,218402,218402,Да
10276,britney spears,...baby one more time,2,0.0,165,0,129901,212135,Да
10913,sean paul,temperature,1,0.0,179,0,85446,85446,Да
10924,gwen stefani,hollaback girl,1,0.0,110,0,84070,84070,Да
